GENESIS-Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2000;31-Jährige;322297;229613;448;21388;-;-;-;202153;313027;1855;33240;-;-;-;55213;34402;227;4534;-;-;-;33294;41550;468;3142;-;-;-
31.12.2000;32-Jährige;310804;270923;659;27162;-;-;-;191904;350992;2189;40384;-;-;-;50443;36727;268;5012;-;-;-;28543;42354;508;3327;-;-;-
31.12.2000;33-Jährige;288046;311550;793;33434;-;-;-;177267;382865;2733;46923;-;-;-;42815;37430;284;5267;-;-;-;22574;42187;591;3554;-;-;-
31.12.2000;34-Jährige;265037;347492;1044;40079;-;-;-;162695;409276;3477;53619;-;-;-;41175;40993;300;5658;-;-;-;19449;44102;648;3845;-;-;-
31.12.2000;35-Jährige;242633;371117;1230;46647;-;-;-;146173;424193;4406;58907;-;-;-;37150;44600;350;6462;-;-;-;16489;45229;726;3693;-;-;-
31.12.2000;36-Jährige;224574;397397;1452;53517;-;-;-;135077;445054;5139;65891;-;-;-;32232;46539;383;6143;-;-;-;13448;44957;776;4002;-;-;-
31.12.2000;37-Jährige;203744;412471;1693;58741;-;-;-;121886;455063;6041;69793;-;-;-;26363;47240;406;6299;-;-;-;10834;43111;786;3693;-;-;-
31.12.2000;38-Jährige;179938;414448;1987;61784;-;-;-;106455;451447;6869;71593;-;-;-;22270;44998;376;6468;-;-;-;8796;41915;841;3905;-;-;-
31.12.2000;39-Jährige;163213;423314;2018;65660;-;-;-;95239;457067;8122;74254;-;-;-;17324;40953;387;6084;-;-;-;6892;38841;857;3763;-;-;-
31.12.2000;40-Jährige;145242;417435;2364;66385;-;-;-;83997;447631;9365;73791;-;-;-;16758;44502;488;6738;-;-;-;6221;41272;1105;4028;-;-;-
31.12.2000;41-Jährige;127218;420195;2558;67877;-;-;-;73288;442142;9954;73780;-;-;-;12982;40964;367;6181;-;-;-;5366;37879;1016;3699;-;-;-
31.12.2000;42-Jährige;113039;405302;2921;65175;-;-;-;64869;423021;10712;70459;-;-;-;11315;40783;480;6227;-;-;-;4613;36401;1013;3766;-;-;-
31.12.2000;43-Jährige;101524;406264;3271;65475;-;-;-;59446;418526;12080;70644;-;-;-;9019;40596;481;6277;-;-;-;3930;35032;1208;3584;-;-;-
31.12.2000;44-Jährige;92291;399947;3578;64240;-;-;-;53834;410211;13027;69537;-;-;-;7995;41932;537;6346;-;-;-;3824;36510;1304;3843;-;-;-
31.12.2000;45-Jährige;83034;395537;3815;63147;-;-;-;48940;400296;14455;68114;-;-;-;7055;39214;548;5700;-;-;-;3287;37419;1477;3992;-;-;-
31.12.2000;46-Jährige;76157;394802;4158;62974;-;-;-;45454;397623;15748;68669;-;-;-;5994;35711;552;5455;-;-;-;3147;37823;1586;3942;-;-;-
31.12.2000;47-Jährige;69290;387635;4583;61729;-;-;-;41404;388968;17191;67411;-;-;-;4993;32993;497;4828;-;-;-;2770;36823;1563;3804;-;-;-
31.12.2000;48-Jährige;65035;393349;5015;60531;-;-;-;38536;390180;19377;67036;-;-;-;5001;33669;494;4962;-;-;-;2897;39151;1818;4087;-;-;-
31.12.2000;49-Jährige;59638;391118;5335;59273;-;-;-;35094;386312;21182;66282;-;-;-;4158;33024;518;4686;-;-;-;2606;35949;1771;3916;-;-;-
31.12.2000;50-Jährige;57029;392991;6117;58410;-;-;-;33070;386270;23939;65076;-;-;-;4210;38185;708;5023;-;-;-;2751;40462;2425;4032;-;-;-
31.12.2000;51-Jährige;50182;385687;6452;55777;-;-;-;29010;374975;25542;61453;-;-;-;3998;39190;710;4579;-;-;-;2430;38017;2253;3836;-;-;-
31.12.2000;52-Jährige;43474;354866;6440;50634;-;-;-;25434;342446;26185;56182;-;-;-;3742;40228;771;4610;-;-;-;2283;36060;2422;3666;-;-;-
31.12.2000;53-Jährige;38244;333502;6733;46931;-;-;-;22129;325682;27290;52166;-;-;-;3400;41091;711;4219;-;-;-;2043;33695;2410;3368;-;-;-
31.12.2000;54-Jährige;33001;291201;6614;41074;-;-;-;18751;284948;26687;45485;-;-;-;2931;38082;769;3876;-;-;-;1724;29772;2424;2963;-;-;-
31.12.2000;55-Jährige;28289;256047;6577;35834;-;-;-;16854;252573;26223;40792;-;-;-;2638;34693;756;3232;-;-;-;1484;26943;2377;2637;-;-;-
31.12.2000;56-Jährige;36734;358521;9708;46275;-;-;-;21653;347135;38113;53446;-;-;-;2463;32869;823;3046;-;-;-;1405;24752;2506;2404;-;-;-
31.12.2000;57-Jährige;37028;368599;11088;45724;-;-;-;22320;353373;42356;52952;-;-;-;2255;32210;817;2898;-;-;-;1286;22268;2485;2312;-;-;-
31.12.2000;58-Jährige;35466;357752;11986;42436;-;-;-;22455;341516;46389;49363;-;-;-;2264;33742;859;2810;-;-;-;1257;21898;2635;2249;-;-;-
31.12.2000;59-Jährige;42380;443238;16209;48577;-;-;-;26811;421007;63414;57476;-;-;-;2045;31237;843;2646;-;-;-;1254;19037;2687;2141;-;-;-
31.12.2000;60-Jährige;42726;468250;19631;47493;-;-;-;28240;440677;77272;57586;-;-;-;2128;33387;1096;2714;-;-;-;1246;19927;3285;2112;-;-;-
31.12.2000;61-Jährige;39536;464323;20480;43335;-;-;-;28409;432216;83913;53655;-;-;-;1785;29843;1014;2421;-;-;-;1103;16841;3121;1930;-;-;-
31.12.2000;62-Jährige;34936;433692;21050;37757;-;-;-;27509;397608;87808;47415;-;-;-;1722;27679;988;2187;-;-;-;1131;15814;3258;1900;-;-;-
31.12.2000;63-Jährige;30755;405955;21763;32742;-;-;-;26716;366345;91633;42275;-;-;-;1682;24384;997;1846;-;-;-;1072;13845;3074;1700;-;-;-
31.12.2000;64-Jährige;28538;394100;23374;29537;-;-;-;26818;351839;100716;39233;-;-;-;1409;21388;922;1777;-;-;-;928;11965;3154;1534;-;-;-
31.12.2000;65-Jährige;25438;381326;25267;26541;-;-;-;26535;331745;109742;36105;-;-;-;1145;17912;727;1397;-;-;-;835;10235;3071;1427;-;-;-
31.12.2000;66-Jährige;21655;351667;25185;23027;-;-;-;25453;300102;112920;32273;-;-;-;1082;17119;905;1378;-;-;-;790;9038;2910;1210;-;-;-
31.12.2000;67-Jährige;16483;277675;22039;16543;-;-;-;21545;234301;100246;24284;-;-;-;1025;15548;804;1178;-;-;-;649;8253;2816;1143;-;-;-
31.12.2000;68-Jährige;15260;273860;24537;15290;-;-;-;22751;227195;109593;23218;-;-;-;803;12462;828;1074;-;-;-;618;7149;2789;1095;-;-;-
31.12.2000;69-Jährige;14584;275715;27049;13709;-;-;-;24598;223671;122276;23041;-;-;-;745;10621;697;926;-;-;-;564;5922;2746;862;-;-;-
31.12.2000;70-Jährige;14338;283271;31749;13387;-;-;-;27164;224276;141903;23968;-;-;-;701;9695;760;832;-;-;-;592;5789;3257;959;-;-;-
31.12.2000;71-Jährige;12556;268687;33087;11672;-;-;-;28153;209155;147176;22657;-;-;-;647;7748;647;741;-;-;-;597;4932;2766;827;-;-;-
31.12.2000;72-Jährige;11245;258237;35564;10880;-;-;-;29264;196876;157198;22423;-;-;-;512;6774;677;686;-;-;-;549;3990;2934;786;-;-;-
31.12.2000;73-Jährige;9349;222690;33801;8678;-;-;-;29521;175381;161155;20521;-;-;-;554;5720;669;489;-;-;-;476;3654;3035;659;-;-;-
31.12.2000;74-Jährige;7969;198740;33189;7421;-;-;-;31691;162197;177169;21023;-;-;-;507;5047;695;497;-;-;-;497;3104;3129;669;-;-;-
31.12.2000;75-Jährige;6962;179416;33597;6445;-;-;-;33918;147936;191481;20880;-;-;-;486;4263;648;455;-;-;-;500;2653;3272;636;-;-;-
31.12.2000;76-Jährige;5828;148164;29605;5212;-;-;-;33374;127753;193508;18999;-;-;-;406;3980;555;426;-;-;-;446;2427;3104;555;-;-;-
31.12.2000;77-Jährige;5023;134624;30561;4562;-;-;-;33066;110644;198455;18276;-;-;-;365;3378;601;375;-;-;-;476;2005;2989;526;-;-;-
31.12.2000;78-Jährige;5025;132028;32925;4170;-;-;-;32752;98706;213711;18684;-;-;-;335;3093;534;383;-;-;-;407;1561;3002;451;-;-;-
31.12.2000;79-Jährige;4477;124658;34189;3971;-;-;-;31977;89061;230052;18665;-;-;-;316;2540;560;305;-;-;-;361;1424;2713;382;-;-;-
31.12.2000;80-Jährige;3781;108180;34782;3348;-;-;-;28572;70538;232650;17101;-;-;-;264;2326;540;270;-;-;-;306;1036;2658;351;-;-;-
31.12.2000;81-Jährige;2611;74284;25208;2361;-;-;-;19740;44513;173793;11730;-;-;-;228;1711;419;210;-;-;-;275;733;2151;232;-;-;-
31.12.2000;82-Jährige;1750;42100;16115;1401;-;-;-;11918;21909;111785;6888;-;-;-;180;1200;324;145;-;-;-;255;491;1550;185;-;-;-
31.12.2000;83-Jährige;1633;35776;14811;1180;-;-;-;10817;16945;102805;5862;-;-;-;191;1031;299;103;-;-;-;149;427;1233;125;-;-;-
31.12.2000;84-Jährige;1596;33649;15709;1135;-;-;-;11126;14903;108089;5817;-;-;-;169;981;290;132;-;-;-;163;391;1205;122;-;-;-
31.12.2000;85 Jahre und mehr;17175;153805;194215;8163;-;-;-;96450;68232;1002332;38674;-;-;-;1954;6529;3680;828;-;-;-;2314;3363;13712;1270;-;-;-
31.12.2001;unter 1 Jahr;356136;-;-;-;-;-;-;336955;-;-;-;-;-;-;22087;-;-;-;-;-;-;20577;-;-;-;-;-;-
31.12.2001;1-Jährige;371091;-;-;-;-;-;-;352456;-;-;-;-;-;-;24950;-;-;-;-;-;-;23650;-;-;-;-;-;-
31.12.2001;2-Jährige;354223;-;-;-;-;-;-;334603;-;-;-;-;-;-;44555;-;-;-;-;-;-;42537;-;-;-;-;-;-
31.12.2001;3-Jährige;360017;-;-;-;-;-;-;341945;-;-;-;-;-;-;46425;-;-;-;-;-;-;43811;-;-;-;-;-;-
31.12.2001;4-Jährige;371145;-;-;-;-;-;-;352392;-;-;-;-;-;-;48045;-;-;-;-;-;-;45384;-;-;-;-;-;-
31.12.2001;5-Jährige;365286;-;-;-;-;-;-;345738;-;-;-;-;-;-;46621;-;-;-;-;-;-;44550;-;-;-;-;-;-
31.12.2001;6-Jährige;353604;-;-;-;-;-;-;335362;-;-;-;-;-;-;44148;-;-;-;-;-;-;42549;-;-;-;-;-;-
31.12.2001;7-Jährige;357493;-;-;-;-;-;-;338250;-;-;-;-;-;-;45624;-;-;-;-;-;-;43349;-;-;-;-;-;-
31.12.2001;8-Jährige;372419;-;-;-;-;-;-;353014;-;-;-;-;-;-;46887;-;-;-;-;-;-;44762;-;-;-;-;-;-
31.12.2001;9-Jährige;381194;-;-;-;-;-;-;363117;-;-;-;-;-;-;47704;-;-;-;-;-;-;45487;-;-;-;-;-;-
31.12.2001;10-Jährige;399075;-;-;-;-;-;-;379371;-;-;-;-;-;-;47164;-;-;-;-;-;-;44620;-;-;-;-;-;-
31.12.2001;11-Jährige;444114;-;-;-;-;-;-;420874;-;-;-;-;-;-;48141;-;-;-;-;-;-;45493;-;-;-;-;-;-
31.12.2001;12-Jährige;437304;-;-;-;-;-;-;416062;-;-;-;-;-;-;48741;-;-;-;-;-;-;46384;-;-;-;-;-;-
31.12.2001;13-Jährige;451989;-;-;-;-;-;-;428628;-;-;-;-;-;-;49173;-;-;-;-;-;-;45886;-;-;-;-;-;-
31.12.2001;14-Jährige;443993;-;-;-;-;-;-;419738;-;-;-;-;-;-;47511;-;-;-;-;-;-;44441;-;-;-;-;-;-
31.12.2001;15-Jährige;437004;2;-;-;-;-;-;415895;41;6;10;-;-;-;45353;-;-;-;-;-;-;41820;84;-;3;-;-;-
31.12.2001;16-Jährige;422428;2;-;-;-;-;-;402246;85;6;3;-;-;-;45423;24;-;-;-;-;-;40729;462;3;1;-;-;-
31.12.2001;17-Jährige;421621;8;2;-;-;-;-;400498;459;8;6;-;-;-;46794;101;2;1;-;-;-;40154;1281;5;5;-;-;-
31.12.2001;18-Jährige;424564;371;6;6;-;-;-;402147;3044;12;18;-;-;-;47851;431;1;5;-;-;-;40640;3105;4;21;-;-;-
31.12.2001;19-Jährige;434249;1422;2;19;-;-;-;406189;8693;25;73;-;-;-;52225;1283;1;12;-;-;-;45424;6147;15;47;-;-;-
31.12.2001;20-Jährige;426868;3849;7;40;-;-;-;397049;17156;48;261;-;-;-;56435;2836;4;47;-;-;-;48213;10219;29;138;-;-;-
31.12.2001;21-Jährige;424894;8103;17;154;-;-;-;387664;28295;82;771;-;-;-;59042;4753;7;107;-;-;-;50101;14432;40;293;-;-;-
31.12.2001;22-Jährige;395629;13975;24;350;-;-;-;351427;40631;121;1596;-;-;-;59374;7641;17;269;-;-;-;50206;17488;82;492;-;-;-
31.12.2001;23-Jährige;381427;21891;33;724;-;-;-;329837;55711;184;2748;-;-;-;61395;10535;19;450;-;-;-;49505;21274;101;775;-;-;-
31.12.2001;24-Jährige;366545;31901;50;1339;-;-;-;307614;72841;283;4191;-;-;-;61384;14193;33;764;-;-;-;48941;24857;146;1150;-;-;-
31.12.2001;25-Jährige;344484;43543;43;2106;-;-;-;279579;91572;324;6243;-;-;-;63798;17881;42;1064;-;-;-;48230;27886;175;1582;-;-;-
31.12.2001;26-Jährige;317330;56865;113;3119;-;-;-;245708;109458;446;8187;-;-;-;64734;21236;78;1547;-;-;-;47488;30969;215;1961;-;-;-
31.12.2001;27-Jährige;305178;73399;115;4738;-;-;-;227707;132652;562;10771;-;-;-;62564;24702;70;2099;-;-;-;45217;34911;304;2442;-;-;-
31.12.2001;28-Jährige;290235;93760;164;6651;-;-;-;207864;155855;731;13712;-;-;-;61048;26478;107;2758;-;-;-;44551;36098;321;2894;-;-;-
31.12.2001;29-Jährige;302559;126334;230;9935;-;-;-;209014;194708;959;18568;-;-;-;59603;29259;158;3422;-;-;-;42243;38359;402;3230;-;-;-
31.12.2001;30-Jährige;315716;168275;323;14227;-;-;-;211932;240612;1342;25150;-;-;-;56614;30744;159;4014;-;-;-;39523;39169;381;3526;-;-;-
31.12.2001;31-Jährige;305927;199146;427;19034;-;-;-;198551;273845;1701;30655;-;-;-;58394;32799;176;4948;-;-;-;36736;41118;447;3752;-;-;-
31.12.2001;32-Jährige;303527;245739;561;25770;-;-;-;192790;319084;2154;37966;-;-;-;52784;34642;247;5661;-;-;-;33048;41218;507;3854;-;-;-
31.12.2001;33-Jährige;294658;283968;776;32004;-;-;-;185557;353541;2572;45526;-;-;-;48215;36313;281;6098;-;-;-;28443;41731;573;3969;-;-;-
31.12.2001;34-Jährige;275376;320543;953;38541;-;-;-;172560;383294;3152;52322;-;-;-;41249;36640;299;6159;-;-;-;22707;41412;623;4168;-;-;-
31.12.2001;35-Jährige;256187;352624;1212;45386;-;-;-;159434;408255;3965;59086;-;-;-;39767;39481;319;6678;-;-;-;19652;42940;700;4442;-;-;-
31.12.2001;36-Jährige;236083;373873;1402;52021;-;-;-;144272;421267;4950;64713;-;-;-;36128;42524;387;7384;-;-;-;16752;43795;779;4340;-;-;-
31.12.2001;37-Jährige;219636;398279;1637;59243;-;-;-;134019;440879;5822;71870;-;-;-;31260;44215;408;7074;-;-;-;13748;43422;818;4569;-;-;-
31.12.2001;38-Jährige;199983;412141;1938;64346;-;-;-;121563;449954;6844;75731;-;-;-;25958;44749;451;7044;-;-;-;11201;41723;853;4211;-;-;-
31.12.2001;39-Jährige;177275;412926;2249;67161;-;-;-;106374;446269;7743;77230;-;-;-;21966;42773;414;7197;-;-;-;9179;40552;920;4446;-;-;-
31.12.2001;40-Jährige;160786;421183;2369;70773;-;-;-;95362;451876;9019;79604;-;-;-;17149;38789;411;6801;-;-;-;7256;37731;907;4247;-;-;-
31.12.2001;41-Jährige;143938;414480;2654;71431;-;-;-;84531;442137;10312;78983;-;-;-;16824;42122;511;7358;-;-;-;6655;39985;1167;4542;-;-;-
31.12.2001;42-Jährige;126123;416373;2913;72781;-;-;-;73910;436538;11103;78617;-;-;-;12926;38943;403;6698;-;-;-;5722;36766;1071;4144;-;-;-
31.12.2001;43-Jährige;112317;401280;3359;69818;-;-;-;65646;417771;11827;74801;-;-;-;11237;38824;542;6719;-;-;-;4915;35184;1115;4181;-;-;-
31.12.2001;44-Jährige;101020;402101;3704;69908;-;-;-;60072;413545;13326;74452;-;-;-;9098;38601;514;6839;-;-;-;4189;33997;1249;3992;-;-;-
31.12.2001;45-Jährige;91931;395969;4041;68111;-;-;-;54266;405686;14390;72858;-;-;-;8069;39882;592;6846;-;-;-;4090;35667;1368;4096;-;-;-
31.12.2001;46-Jährige;82754;391430;4331;66745;-;-;-;49049;396250;15898;71130;-;-;-;7059;37295;618;6181;-;-;-;3642;36293;1595;4403;-;-;-
31.12.2001;47-Jährige;75928;390436;4665;66285;-;-;-;45454;393893;17283;71228;-;-;-;5976;34052;601;5804;-;-;-;3388;36857;1687;4228;-;-;-
31.12.2001;48-Jährige;69146;383467;5176;64496;-;-;-;41228;385554;18870;69476;-;-;-;5037;31537;547;5129;-;-;-;3076;35814;1691;4071;-;-;-
31.12.2001;49-Jährige;64634;389365;5673;63173;-;-;-;38287;386898;21145;68790;-;-;-;4987;32154;559;5331;-;-;-;3173;38067;1928;4413;-;-;-
31.12.2001;50-Jährige;58912;388089;6010;61101;-;-;-;34705;383502;23185;67300;-;-;-;4145;31608;594;4947;-;-;-;2821;35095;1899;4109;-;-;-
31.12.2001;51-Jährige;56353;389383;6781;60404;-;-;-;32746;383184;26024;66101;-;-;-;4312;36651;781;5377;-;-;-;2967;39474;2573;4274;-;-;-
31.12.2001;52-Jährige;49512;382216;7243;57390;-;-;-;28756;371743;27834;62210;-;-;-;4070;37538;798;4993;-;-;-;2620;37159;2388;4115;-;-;-
31.12.2001;53-Jährige;42788;351514;7192;52004;-;-;-;25112;339356;28377;56722;-;-;-;3789;38714;882;4969;-;-;-;2388;35321;2591;3838;-;-;-
31.12.2001;54-Jährige;37812;329857;7602;48142;-;-;-;22029;322304;29633;52449;-;-;-;3551;39540;850;4595;-;-;-;2130;32881;2560;3646;-;-;-
31.12.2001;55-Jährige;32387;287965;7428;41848;-;-;-;18603;281806;28836;45682;-;-;-;3023;36771;875;4191;-;-;-;1816;29110;2586;3110;-;-;-
31.12.2001;56-Jährige;27686;253143;7397;36314;-;-;-;16694;249542;28288;40870;-;-;-;2686;33549;882;3457;-;-;-;1575;26374;2525;2742;-;-;-
31.12.2001;57-Jährige;36009;353955;10868;46730;-;-;-;21463;342964;41022;53177;-;-;-;2525;31676;941;3258;-;-;-;1460;24109;2656;2541;-;-;-
31.12.2001;58-Jährige;36185;363787;12318;46048;-;-;-;22070;348804;45492;52774;-;-;-;2312;31053;939;3127;-;-;-;1323;21683;2625;2436;-;-;-
31.12.2001;59-Jährige;34682;353091;13254;42528;-;-;-;22254;336601;49864;49182;-;-;-;2329;32553;989;3025;-;-;-;1313;21317;2800;2285;-;-;-
31.12.2001;60-Jährige;41323;437160;17864;48131;-;-;-;26506;414844;67860;57036;-;-;-;2049;29927;996;2776;-;-;-;1302;18469;2803;2209;-;-;-
31.12.2001;61-Jährige;41693;460802;21479;47381;-;-;-;27916;433241;82348;57273;-;-;-;2142;31894;1258;2884;-;-;-;1249;19277;3400;2187;-;-;-
31.12.2001;62-Jährige;38539;456532;22438;42970;-;-;-;27957;424239;89484;53299;-;-;-;1813;28627;1159;2534;-;-;-;1144;16279;3252;1967;-;-;-
31.12.2001;63-Jährige;34164;425670;23069;37274;-;-;-;27174;389311;93534;47103;-;-;-;1725;26553;1123;2261;-;-;-;1144;15385;3394;1955;-;-;-
31.12.2001;64-Jährige;29899;397970;23648;32201;-;-;-;26371;357888;97274;41986;-;-;-;1693;23351;1144;1916;-;-;-;1060;13518;3197;1739;-;-;-
31.12.2001;65-Jährige;27743;385162;25416;29102;-;-;-;26421;342891;106536;38895;-;-;-;1396;20397;1027;1766;-;-;-;921;11663;3263;1541;-;-;-
