Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;;Ausländer;;;;;;;;;;;;;
;männlich;;;;;;;weiblich;;;;;;;männlich;;;;;;;weiblich;;;;;;
;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36-Jährige;229450;215390;315;15578;-;-;-;169700;252244;883;24973;-;-;-;74831;57689;174;3981;-;-;-;46884;67204;537;5665;-;-;-
37-Jährige;213312;222032;366;17887;-;-;-;158350;254424;1116;27601;-;-;-;68145;58607;200;4184;-;-;-;43350;66693;558;6200;-;-;-
38-Jährige;198664;227212;422;19622;-;-;-;148359;259633;1260;29815;-;-;-;63042;57942;236;4469;-;-;-;41316;65763;611;6556;-;-;-
39-Jährige;184269;224885;470;21217;-;-;-;136129;254790;1482;32191;-;-;-;59083;59777;258;4875;-;-;-;38493;66395;725;7027;-;-;-
40-Jährige;174890;231567;516;23217;-;-;-;129691;258027;1812;35159;-;-;-;54562;58470;280;5196;-;-;-;35766;65743;849;7780;-;-;-
41-Jährige;168307;236733;609;26365;-;-;-;124741;261471;2084;38848;-;-;-;50322;59180;269;5454;-;-;-;34062;65871;904;8238;-;-;-
42-Jährige;165928;245078;684;29221;-;-;-;120813;270685;2478;43292;-;-;-;47675;59252;286;6105;-;-;-;31962;65721;1012;9102;-;-;-
43-Jährige;157457;245052;797;31257;-;-;-;115999;270813;2967;46031;-;-;-;43748;59371;296;6561;-;-;-;29517;65993;1171;9712;-;-;-
44-Jährige;150783;247809;937;33679;-;-;-;110930;272332;3313;49506;-;-;-;42928;61269;364;7312;-;-;-;28950;66177;1292;10420;-;-;-
45-Jährige;136045;238559;1011;34485;-;-;-;99855;259971;3766;50098;-;-;-;38771;59949;381;7595;-;-;-;26575;63594;1471;10719;-;-;-
46-Jährige;129026;237217;1170;36961;-;-;-;95031;256095;4239;52018;-;-;-;35790;59195;373;7817;-;-;-;24574;61967;1583;10989;-;-;-
47-Jährige;122620;237562;1217;38804;-;-;-;90085;253280;4779;53845;-;-;-;33281;58740;424;8105;-;-;-;23452;59922;1880;11491;-;-;-
48-Jährige;113188;235072;1502;39512;-;-;-;83367;249490;5458;55410;-;-;-;31153;58092;432;8629;-;-;-;22290;59357;1926;11827;-;-;-
49-Jährige;105254;229337;1601;40352;-;-;-;76385;243141;5949;55431;-;-;-;29650;57717;484;8911;-;-;-;20986;57730;2149;12438;-;-;-
50-Jährige;102789;233835;1896;42955;-;-;-;73687;248505;6759;58547;-;-;-;28176;57069;543;9449;-;-;-;20078;57096;2415;12548;-;-;-
51-Jährige;101206;238399;2134;44727;-;-;-;71816;251884;7637;59840;-;-;-;24960;55779;561;9341;-;-;-;18266;55716;2583;12551;-;-;-
52-Jährige;108201;264079;2676;52292;-;-;-;76257;278793;9735;67516;-;-;-;23692;54941;595;9676;-;-;-;17679;53722;2864;12602;-;-;-
53-Jährige;119409;298611;3576;60346;-;-;-;82837;312541;12164;78173;-;-;-;21996;53665;657;9760;-;-;-;16577;52043;3249;12459;-;-;-
